date,index,8 Open_Interest_All,9 Prod_Merc_Positions_Long_All,10 Prod_Merc_Positions_Short_All,11 Swap_Positions_Long_All,12 Swap__Positions_Short_All,14 M_Money_Positions_Long_All,15 M_Money_Positions_Short_All,56 56 Change_in_Open_Interest_All,57 57 Change_in_Prod_Merc_Long_All,58 58 Change_in_Prod_Merc_Short_All,59 59 Change_in_Swap_Long_All,60 60 Change_in_Swap_Short_All,62 62 Change_in_M_Money_Long_All,63 63 Change_in_M_Money_Short_All,73 73 Pct_of_OI_Prod_Merc_Long_All,74 74 Pct_of_OI_Prod_Merc_Short_All,75 75 Pct_of_OI_Swap_Long_All,76 76 Pct_of_OI_Swap_Short_All,78 78 Pct_of_OI_M_Money_Long_All,79 79 Pct_of_OI_M_Money_Short_All,120 120 Traders_Tot_All,121 121 Traders_Prod_Merc_Long_All,122 122 Traders_Prod_Merc_Short_All,123 123 Traders_Swap_Long_All,124 124 Traders_Swap_Short_All,126 126 Traders_M_Money_Long_All,127 127 Traders_M_Money_Short_All,CALIF CARBON CURRENT AUCTION - ICE FUTURES ENERGY DIV,CALIF CARBON 21 - ICE FUTURES ENERGY DIV,CALIF CARBON VINTAGE 2020 - ICE FUTURES ENERGY DIV,CALIF CARBON 22 - ICE FUTURES ENERGY DIV,CALIF CARBON ALLOWANCE V2022 - ICE FUTURES ENERGY DIV,1 Market_and_Exchange_Names_CALIF CARBON 21 - ICE FUTURES ENERGY DIV,1 Market_and_Exchange_Names_CALIF CARBON 22 - ICE FUTURES ENERGY DIV,1 Market_and_Exchange_Names_CALIF CARBON ALL VINTAGE 2016 - ICE FUTURES ENERGY DIV,1 Market_and_Exchange_Names_CALIF CARBON ALL VINTAGE 2017 - ICE FUTURES ENERGY DIV,1 Market_and_Exchange_Names_CALIF CARBON ALL VINTAGE 2018 - ICE FUTURES ENERGY DIV,1 Market_and_Exchange_Names_CALIF CARBON ALL VINTAGE 2019 - ICE FUTURES ENERGY DIV,1 Market_and_Exchange_Names_CALIF CARBON VINTAGE 2020 - ICE FUTURES ENERGY DIV,1 Market_and_Exchange_Names_CALIFORNIA CARBON ALLOWANCE VINTAGE 2015 - ICE FUTURES ENERGY DIV,AA_Vintage,AA_Clearing Price,AA_Floor Price,AA_Cleared Above Floor,AA_Percent above Floor,AA_BID Ratio,AA_HHI,AA_Allowances Purchased by Compliance Entities,AA_Volume of Allowances-State,AA_Volume of Allowances-Utility,AA_Revenue-State,AA_Maximum,AA_Minimum,AA_Mean,AA_Median,AA_Allowances Offered,AA_Allowances Cleared,Qualified Bidders(Total)_x,AA_Median allowance price,AA_Speculators Allowances Purchased,AA_Vintage of Purchase,AA_Compliance Entities Allowances Purchased,AA_Speculator Buy and Hold,CA_Vintage,CA_Clearing Price,CA_Floor Price,CA_Cleared Above Floor,CA_Percent Above Floor,CA_BID Ratio,CA_HHI,CA_Allowances Purchased by Compliance Entities,CA_Volume of Allowances-State,CA_Volume of Allowances-Utility,CA_Maximum,CA_Minimum,CA_Mean,CA_Median,CA_Allowances Offered,CA_Allowances Cleared,Qualified Bidders(Total)_y,CA_Median allowance price,Speculators Allowances purchased,Vintage of Purchase,Compliance Entities Allowances Purchased,Speculator Buy and Hold,Front,Benchmark,Auction Floor,Front_Weekly_min,Front_Weekly_max
2015-06-11,10,24900.0,8856.0,6134.0,0.0,8335.0,0.0,0.0,3019.0,61.0,114.0,0.0,150.0,0.0,0.0,35.6,24.6,0.0,33.5,0.0,0.0,30.0,5.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.54,12.71,10431500.0,10431500.0,84.0,12.36,667616.0,2018-09-01,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,2015-09-01,69904750.72,3172148.352,12.51,12.65,12.1,12.51,12.56
2015-06-12,11,24900.0,8856.0,6134.0,0.0,8335.0,0.0,0.0,3019.0,61.0,114.0,0.0,150.0,0.0,0.0,35.6,24.6,0.0,33.5,0.0,0.0,30.0,5.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.54,12.71,10431500.0,10431500.0,84.0,12.36,667616.0,2018-09-01,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,2015-09-01,69904750.72,3172148.352,12.55,12.7,12.1,12.51,12.56
2015-06-13,12,24900.0,8856.0,6134.0,0.0,8335.0,0.0,0.0,3019.0,61.0,114.0,0.0,150.0,0.0,0.0,35.6,24.6,0.0,33.5,0.0,0.0,30.0,5.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.54,12.71,10431500.0,10431500.0,84.0,12.36,667616.0,2018-09-01,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,2015-09-01,69904750.72,3172148.352,12.55,12.7,12.1,12.51,12.56
2015-06-14,13,24900.0,8856.0,6134.0,0.0,8335.0,0.0,0.0,3019.0,61.0,114.0,0.0,150.0,0.0,0.0,35.6,24.6,0.0,33.5,0.0,0.0,30.0,5.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.54,12.71,10431500.0,10431500.0,84.0,12.36,667616.0,2018-09-01,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,2015-09-01,69904750.72,3172148.352,12.55,12.7,12.1,12.51,12.56
2015-06-15,14,24900.0,8856.0,6134.0,0.0,8335.0,0.0,0.0,3019.0,61.0,114.0,0.0,150.0,0.0,0.0,35.6,24.6,0.0,33.5,0.0,0.0,30.0,5.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.54,12.71,10431500.0,10431500.0,84.0,12.36,667616.0,2018-09-01,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,2015-09-01,69904750.72,3172148.352,12.55,12.7,12.1,12.51,12.56
2015-06-16,15,24900.0,8856.0,6134.0,0.0,8335.0,0.0,0.0,3019.0,61.0,114.0,0.0,150.0,0.0,0.0,35.6,24.6,0.0,33.5,0.0,0.0,30.0,5.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.54,12.71,10431500.0,10431500.0,84.0,12.36,667616.0,2018-09-01,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,2015-09-01,69904750.72,3172148.352,12.56,12.71,12.1,12.51,12.56
2015-06-17,16,25980.0,8790.0,6189.0,0.0,8749.0,0.0,0.0,1080.0,-66.0,55.0,0.0,414.0,0.0,0.0,33.8,23.8,0.0,33.7,0.0,0.0,31.0,4.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.54,12.71,10431500.0,10431500.0,84.0,12.36,667616.0,2018-09-01,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,2015-09-01,69904750.72,3172148.352,12.56,12.71,12.1,12.56,12.58
2015-06-18,17,25980.0,8790.0,6189.0,0.0,8749.0,0.0,0.0,1080.0,-66.0,55.0,0.0,414.0,0.0,0.0,33.8,23.8,0.0,33.7,0.0,0.0,31.0,4.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.54,12.71,10431500.0,10431500.0,84.0,12.36,667616.0,2018-09-01,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,2015-09-01,69904750.72,3172148.352,12.57,12.72,12.1,12.56,12.58
2015-06-19,18,25980.0,8790.0,6189.0,0.0,8749.0,0.0,0.0,1080.0,-66.0,55.0,0.0,414.0,0.0,0.0,33.8,23.8,0.0,33.7,0.0,0.0,31.0,4.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.54,12.71,10431500.0,10431500.0,84.0,12.36,667616.0,2018-09-01,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,2015-09-01,69904750.72,3172148.352,12.57,12.72,12.1,12.56,12.58
2015-06-20,19,25980.0,8790.0,6189.0,0.0,8749.0,0.0,0.0,1080.0,-66.0,55.0,0.0,414.0,0.0,0.0,33.8,23.8,0.0,33.7,0.0,0.0,31.0,4.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.54,12.71,10431500.0,10431500.0,84.0,12.36,667616.0,2018-09-01,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,2015-09-01,69904750.72,3172148.352,12.57,12.72,12.1,12.56,12.58
2015-06-21,20,25980.0,8790.0,6189.0,0.0,8749.0,0.0,0.0,1080.0,-66.0,55.0,0.0,414.0,0.0,0.0,33.8,23.8,0.0,33.7,0.0,0.0,31.0,4.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.54,12.71,10431500.0,10431500.0,84.0,12.36,667616.0,2018-09-01,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,2015-09-01,69904750.72,3172148.352,12.57,12.72,12.1,12.56,12.58
2015-06-22,21,25980.0,8790.0,6189.0,0.0,8749.0,0.0,0.0,1080.0,-66.0,55.0,0.0,414.0,0.0,0.0,33.8,23.8,0.0,33.7,0.0,0.0,31.0,4.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.54,12.71,10431500.0,10431500.0,84.0,12.36,667616.0,2018-09-01,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,2015-09-01,69904750.72,3172148.352,12.57,12.72,12.1,12.56,12.58
2015-06-23,22,25980.0,8790.0,6189.0,0.0,8749.0,0.0,0.0,1080.0,-66.0,55.0,0.0,414.0,0.0,0.0,33.8,23.8,0.0,33.7,0.0,0.0,31.0,4.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.54,12.71,10431500.0,10431500.0,84.0,12.36,667616.0,2018-09-01,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,2015-09-01,69904750.72,3172148.352,12.58,12.72,12.1,12.56,12.58
2015-06-24,23,20940.0,8508.0,5501.0,0.0,7886.0,0.0,0.0,-5040.0,-282.0,-688.0,0.0,-863.0,0.0,0.0,40.6,26.3,0.0,37.7,0.0,0.0,27.0,4.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.54,12.71,10431500.0,10431500.0,84.0,12.36,667616.0,2018-09-01,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,2015-09-01,69904750.72,3172148.352,12.57,12.7,12.1,12.57,12.63
2015-06-25,24,20940.0,8508.0,5501.0,0.0,7886.0,0.0,0.0,-5040.0,-282.0,-688.0,0.0,-863.0,0.0,0.0,40.6,26.3,0.0,37.7,0.0,0.0,27.0,4.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,12.3,12.1,0.2,0.0165,1.78,1693.0,0.9359999999999999,10431500.0,0.0,128307450.0,18.57,12.1,12.54,12.71,10431500.0,10431500.0,84.0,12.36,667616.0,2018-09-01,9763884.0,600854.4,2015.0,12.52,12.1,0.42,0.0347,1.28,597.0,0.9520000000000001,53870073.0,19559287.0,45.21,12.1,13.73,12.56,73429360.0,73429360.0,84.0,13.1,3524609.28,2015-09-01,69904750.72,3172148.352,12.57,12.7,12.1,12.57,12.63
